Date,Adj Close,Close,High,Low,Open,Volume,Daily Range,Price Change,Log Volume
2012-01-05,8598.7001953125,8598.7001953125,8301.2001953125,8329.599609375,8329.5908203125,192704000,-28.3994140625,269.109375,19.076665896012848
2012-01-06,8369.7001953125,8445.900390625,8233.7998046875,8289.099609375,8289.0908203125,153765000,-55.2998046875,156.8095703125,18.85093602737118
2012-01-09,8314.5,8404.400390625,8250.099609375,8278.900390625,8278.8916015625,173948000,-28.80078125,125.5087890625,18.9742669676882
2012-01-10,8341.099609375,8486.099609375,8339.0,8472.900390625,8472.8916015625,200515000,-133.900390625,13.2080078125,19.116399619867288
2012-01-11,8463.099609375,8521.2001953125,8371.2998046875,8426.7998046875,8426.791015625,234067000,-55.5,94.4091796875,19.27111796139746
2012-01-12,8455.900390625,8575.900390625,8419.0,8427.0,8426.9912109375,265513000,-8.0,148.9091796875,19.39717436543231
2012-01-13,8501.099609375,8548.2001953125,8367.400390625,8450.599609375,8450.5908203125,243066000,-83.19921875,97.609375,19.30884357347926
2012-01-16,8368.400390625,8483.599609375,8354.599609375,8449.599609375,8449.5908203125,143473000,-95.0,34.0087890625,18.78165742912074
2012-01-17,8551.2998046875,8575.0,8447.400390625,8535.2998046875,8535.291015625,203479000,-87.8994140625,39.708984375,19.131073368333364
2012-01-18,8539.400390625,8581.7998046875,8411.0,8420.7001953125,8420.69140625,231351000,-9.7001953125,161.1083984375,19.259446600085532
2012-01-19,8464.599609375,8603.7998046875,8433.900390625,8603.7998046875,8603.791015625,316961000,-169.8994140625,0.0087890625,19.574289299036735
2012-01-20,8610.400390625,8612.400390625,8526.2998046875,8561.900390625,8561.8916015625,271034000,-35.6005859375,50.5087890625,19.417754835918558
2012-01-23,8552.7001953125,8667.5,8529.2001953125,8619.599609375,8619.5908203125,219158000,-90.3994140625,47.9091796875,19.205303493402894
2012-01-24,8551.5,8597.0,8519.0,8591.400390625,8591.3916015625,214926000,-72.400390625,5.6083984375,19.185804345452578
2012-01-25,8618.5,8638.7001953125,8463.0,8555.400390625,8555.3916015625,213599000,-92.400390625,83.30859375,19.179610988073083
2012-01-26,8594.900390625,8721.599609375,8583.599609375,8713.7998046875,8713.791015625,223131000,-130.2001953125,7.80859375,19.223269605374604
2012-01-27,8670.900390625,8746.599609375,8624.7998046875,8657.2998046875,8657.291015625,171538000,-32.5,89.30859375,18.960315380199933
2012-01-30,8588.400390625,8624.2001953125,8496.7001953125,8517.0,8516.9912109375,177904000,-20.2998046875,107.208984375,18.996754642546176
2012-01-31,8537.7998046875,8576.900390625,8489.400390625,8509.2001953125,8509.19140625,229793000,-19.7998046875,67.708984375,19.25268946599605
2012-02-01,8558.599609375,8726.7998046875,8551.400390625,8696.599609375,8696.5908203125,223557000,-145.19921875,30.208984375,19.22517697753255
2012-02-02,8724.0,8782.0,8689.2998046875,8772.2998046875,8772.291015625,210818000,-83.0,9.708984375,19.166505764723784
2012-02-03,8748.7998046875,8861.2001953125,8733.2001953125,8861.2001953125,8861.19140625,260454000,-128.0,0.0087890625,19.377936823911163
2012-02-06,8833.7998046875,8841.7998046875,8751.099609375,8835.2998046875,8835.291015625,179784000,-84.2001953125,6.5087890625,19.007266693840197
2012-02-07,8841.7001953125,8856.900390625,8725.7998046875,8846.900390625,8846.8916015625,178247000,-121.1005859375,10.0087890625,18.99868079243271
2012-02-08,8859.400390625,8921.7001953125,8841.599609375,8849.2998046875,8849.291015625,199361000,-7.7001953125,72.4091796875,19.110627814618173
2012-02-09,8879.0,8967.400390625,8868.2001953125,8902.099609375,8902.0908203125,195273000,-33.8994140625,65.3095703125,19.089909142562764
2012-02-10,8851.599609375,8860.400390625,8746.2998046875,8797.099609375,8797.0908203125,172345000,-50.7998046875,63.3095703125,18.965008845574673
2012-02-13,8856.099609375,8883.2998046875,8772.2001953125,8788.2998046875,8788.291015625,145672000,-16.099609375,95.0087890625,18.796868083858552
2012-02-14,8760.2998046875,8832.7998046875,8721.5,8771.900390625,8771.8916015625,149295000,-50.400390625,60.908203125,18.821434779028557
2012-02-15,8820.2001953125,8853.400390625,8719.099609375,8741.599609375,8741.5908203125,151604000,-22.5,111.8095703125,18.836782422644866
2012-02-16,8649.2001953125,8651.7001953125,8476.7998046875,8558.099609375,8558.0908203125,305249000,-81.2998046875,93.609375,19.53663839822246
2012-02-17,8647.7998046875,8708.099609375,8612.900390625,8657.0,8656.9912109375,258808000,-44.099609375,51.1083984375,19.371597035878207
2012-02-20,8726.599609375,8818.099609375,8715.5,8818.099609375,8818.0908203125,161960000,-102.599609375,0.0087890625,18.9028599553026
2012-02-21,8825.2001953125,8864.400390625,8695.900390625,8767.099609375,8767.0908203125,190679000,-71.19921875,97.3095703125,19.066101949143057
2012-02-22,8775.2998046875,8778.099609375,8654.5,8657.0,8656.9912109375,179455000,-2.5,121.1083984375,19.005435043656615
2012-02-23,8637.900390625,8672.2998046875,8482.2998046875,8527.7001953125,8527.69140625,249965000,-45.400390625,144.6083984375,19.336831470026166
2012-02-24,8553.099609375,8568.2001953125,8456.400390625,8527.7001953125,8527.69140625,193668000,-71.2998046875,40.5087890625,19.081655915969435
2012-02-27,8483.2998046875,8549.7001953125,8429.099609375,8537.2001953125,8537.19140625,169653000,-108.1005859375,12.5087890625,18.949265738398505
2012-02-28,8558.2001953125,8595.0,8461.2998046875,8526.7001953125,8526.69140625,197819000,-65.400390625,68.30859375,19.102863034217723
2012-02-29,8538.5,8628.400390625,8438.2998046875,8465.900390625,8465.8916015625,234671000,-27.6005859375,162.5087890625,19.27369509545409
2012-03-01,8442.0,8567.7998046875,8401.900390625,8547.7001953125,8547.69140625,199094000,-145.7998046875,20.1083984375,19.109287637992846
2012-03-02,8566.7998046875,8602.2001953125,8520.099609375,8563.400390625,8563.3916015625,151559000,-43.30078125,38.80859375,18.83648555264402
2012-03-05,8514.2001953125,8540.599609375,8421.0,8453.5,8453.4912109375,167063000,-32.5,87.1083984375,18.93388155073658
2012-03-06,8423.7998046875,8426.400390625,8166.60009765625,8166.60009765625,8166.591796875,287919000,0.0,259.80859375,19.478189752015222
2012-03-07,8164.7001953125,8202.2001953125,8081.60009765625,8161.7998046875,8161.79150390625,289619000,-80.19970703125,40.40869140625,19.484076827511362
2012-03-08,8221.2998046875,8307.400390625,8147.89990234375,8307.400390625,8307.3916015625,239945000,-159.50048828125,0.0087890625,19.295920292544526
2012-03-09,8321.599609375,8340.0,8233.2998046875,8282.7001953125,8282.69140625,240617000,-49.400390625,57.30859375,19.298717019856372
2012-03-12,8276.7001953125,8296.400390625,8159.5,8180.2001953125,8180.19189453125,283676000,-20.7001953125,116.20849609375,19.463343303321096
2012-03-13,8243.5,8378.5,8219.2001953125,8376.7998046875,8376.791015625,202583000,-157.599609375,1.708984375,19.12666024201388
2012-03-14,8423.400390625,8499.7001953125,8373.400390625,8391.099609375,8391.0908203125,261394000,-17.69921875,108.609375,19.381539409388374
2012-03-15,8401.400390625,8429.7998046875,8322.099609375,8426.7001953125,8426.69140625,251306000,-104.6005859375,3.1083984375,19.342181882053612
2012-03-16,8450.0,8486.2998046875,8379.400390625,8486.2998046875,8486.291015625,424100000,-106.8994140625,0.0087890625,19.865479836802752
