Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX
Date,,,,,,
2012-01-03 00:00:00+00:00,8732.3916015625,8732.400390625,8743.2998046875,8597.099609375,8739.2001953125,186689000
2012-01-04 00:00:00+00:00,8581.791015625,8581.7998046875,8701.2998046875,8526.7998046875,8683.400390625,243803000
2012-01-05 00:00:00+00:00,8329.5908203125,8329.599609375,8598.7001953125,8301.2001953125,8598.7001953125,192704000
2012-01-06 00:00:00+00:00,8289.0908203125,8289.099609375,8445.900390625,8233.7998046875,8369.7001953125,153765000
2012-01-09 00:00:00+00:00,8278.8916015625,8278.900390625,8404.400390625,8250.099609375,8314.5,173948000
2012-01-10 00:00:00+00:00,8472.8916015625,8472.900390625,8486.099609375,8339.0,8341.099609375,200515000
2012-01-11 00:00:00+00:00,8426.791015625,8426.7998046875,8521.2001953125,8371.2998046875,8463.099609375,234067000
2012-01-12 00:00:00+00:00,8426.9912109375,8427.0,8575.900390625,8419.0,8455.900390625,265513000
2012-01-13 00:00:00+00:00,8450.5908203125,8450.599609375,8548.2001953125,8367.400390625,8501.099609375,243066000
2012-01-16 00:00:00+00:00,8449.5908203125,8449.599609375,8483.599609375,8354.599609375,8368.400390625,143473000
2012-01-17 00:00:00+00:00,8535.291015625,8535.2998046875,8575.0,8447.400390625,8551.2998046875,203479000
2012-01-18 00:00:00+00:00,8420.69140625,8420.7001953125,8581.7998046875,8411.0,8539.400390625,231351000
2012-01-19 00:00:00+00:00,8603.791015625,8603.7998046875,8603.7998046875,8433.900390625,8464.599609375,316961000
2012-01-20 00:00:00+00:00,8561.8916015625,8561.900390625,8612.400390625,8526.2998046875,8610.400390625,271034000
2012-01-23 00:00:00+00:00,8619.5908203125,8619.599609375,8667.5,8529.2001953125,8552.7001953125,219158000
2012-01-24 00:00:00+00:00,8591.3916015625,8591.400390625,8597.0,8519.0,8551.5,214926000
2012-01-25 00:00:00+00:00,8555.3916015625,8555.400390625,8638.7001953125,8463.0,8618.5,213599000
2012-01-26 00:00:00+00:00,8713.791015625,8713.7998046875,8721.599609375,8583.599609375,8594.900390625,223131000
2012-01-27 00:00:00+00:00,8657.291015625,8657.2998046875,8746.599609375,8624.7998046875,8670.900390625,171538000
2012-01-30 00:00:00+00:00,8516.9912109375,8517.0,8624.2001953125,8496.7001953125,8588.400390625,177904000
2012-01-31 00:00:00+00:00,8509.19140625,8509.2001953125,8576.900390625,8489.400390625,8537.7998046875,229793000
2012-02-01 00:00:00+00:00,8696.5908203125,8696.599609375,8726.7998046875,8551.400390625,8558.599609375,223557000
2012-02-02 00:00:00+00:00,8772.291015625,8772.2998046875,8782.0,8689.2998046875,8724.0,210818000
2012-02-03 00:00:00+00:00,8861.19140625,8861.2001953125,8861.2001953125,8733.2001953125,8748.7998046875,260454000
2012-02-06 00:00:00+00:00,8835.291015625,8835.2998046875,8841.7998046875,8751.099609375,8833.7998046875,179784000
2012-02-07 00:00:00+00:00,8846.8916015625,8846.900390625,8856.900390625,8725.7998046875,8841.7001953125,178247000
2012-02-08 00:00:00+00:00,8849.291015625,8849.2998046875,8921.7001953125,8841.599609375,8859.400390625,199361000
2012-02-09 00:00:00+00:00,8902.0908203125,8902.099609375,8967.400390625,8868.2001953125,8879.0,195273000
2012-02-10 00:00:00+00:00,8797.0908203125,8797.099609375,8860.400390625,8746.2998046875,8851.599609375,172345000
2012-02-13 00:00:00+00:00,8788.291015625,8788.2998046875,8883.2998046875,8772.2001953125,8856.099609375,145672000
2012-02-14 00:00:00+00:00,8771.8916015625,8771.900390625,8832.7998046875,8721.5,8760.2998046875,149295000
2012-02-15 00:00:00+00:00,8741.5908203125,8741.599609375,8853.400390625,8719.099609375,8820.2001953125,151604000
2012-02-16 00:00:00+00:00,8558.0908203125,8558.099609375,8651.7001953125,8476.7998046875,8649.2001953125,305249000
2012-02-17 00:00:00+00:00,8656.9912109375,8657.0,8708.099609375,8612.900390625,8647.7998046875,258808000
2012-02-20 00:00:00+00:00,8818.0908203125,8818.099609375,8818.099609375,8715.5,8726.599609375,161960000
2012-02-21 00:00:00+00:00,8767.0908203125,8767.099609375,8864.400390625,8695.900390625,8825.2001953125,190679000
2012-02-22 00:00:00+00:00,8656.9912109375,8657.0,8778.099609375,8654.5,8775.2998046875,179455000
2012-02-23 00:00:00+00:00,8527.69140625,8527.7001953125,8672.2998046875,8482.2998046875,8637.900390625,249965000
2012-02-24 00:00:00+00:00,8527.69140625,8527.7001953125,8568.2001953125,8456.400390625,8553.099609375,193668000
2012-02-27 00:00:00+00:00,8537.19140625,8537.2001953125,8549.7001953125,8429.099609375,8483.2998046875,169653000
2012-02-28 00:00:00+00:00,8526.69140625,8526.7001953125,8595.0,8461.2998046875,8558.2001953125,197819000
2012-02-29 00:00:00+00:00,8465.8916015625,8465.900390625,8628.400390625,8438.2998046875,8538.5,234671000
2012-03-01 00:00:00+00:00,8547.69140625,8547.7001953125,8567.7998046875,8401.900390625,8442.0,199094000
2012-03-02 00:00:00+00:00,8563.3916015625,8563.400390625,8602.2001953125,8520.099609375,8566.7998046875,151559000
2012-03-05 00:00:00+00:00,8453.4912109375,8453.5,8540.599609375,8421.0,8514.2001953125,167063000
2012-03-06 00:00:00+00:00,8166.591796875,8166.60009765625,8426.400390625,8166.60009765625,8423.7998046875,287919000
2012-03-07 00:00:00+00:00,8161.79150390625,8161.7998046875,8202.2001953125,8081.60009765625,8164.7001953125,289619000
2012-03-08 00:00:00+00:00,8307.3916015625,8307.400390625,8307.400390625,8147.89990234375,8221.2998046875,239945000
2012-03-09 00:00:00+00:00,8282.69140625,8282.7001953125,8340.0,8233.2998046875,8321.599609375,240617000
2012-03-12 00:00:00+00:00,8180.19189453125,8180.2001953125,8296.400390625,8159.5,8276.7001953125,283676000
2012-03-13 00:00:00+00:00,8376.791015625,8376.7998046875,8378.5,8219.2001953125,8243.5,202583000
2012-03-14 00:00:00+00:00,8391.0908203125,8391.099609375,8499.7001953125,8373.400390625,8423.400390625,261394000
2012-03-15 00:00:00+00:00,8426.69140625,8426.7001953125,8429.7998046875,8322.099609375,8401.400390625,251306000
2012-03-16 00:00:00+00:00,8486.291015625,8486.2998046875,8486.2998046875,8379.400390625,8450.0,424100000
2012-03-19 00:00:00+00:00,8591.791015625,8591.7998046875,8591.7998046875,8443.5,8478.2998046875,197670000
2012-03-20 00:00:00+00:00,8567.4912109375,8567.5,8606.2001953125,8508.2998046875,8576.7001953125,185873000
2012-03-21 00:00:00+00:00,8490.8916015625,8490.900390625,8625.5,8432.2998046875,8602.7998046875,228467000
2012-03-22 00:00:00+00:00,8353.5908203125,8353.599609375,8463.400390625,8311.2998046875,8449.099609375,255496000
2012-03-23 00:00:00+00:00,8281.791015625,8281.7998046875,8386.7998046875,8192.599609375,8360.400390625,249692000
